Time,Class,Region,Average Rent
199903,Less than 40 m2,Hong Kong,195.0
199906,Less than 40 m2,Hong Kong,192.0
199909,Less than 40 m2,Hong Kong,195.0
199912,Less than 40 m2,Hong Kong,187.0
200003,Less than 40 m2,Hong Kong,188.0
200006,Less than 40 m2,Hong Kong,193.0
200009,Less than 40 m2,Hong Kong,191.0
200012,Less than 40 m2,Hong Kong,193.0
200103,Less than 40 m2,Hong Kong,193.0
200106,Less than 40 m2,Hong Kong,190.0
200109,Less than 40 m2,Hong Kong,184.0
200112,Less than 40 m2,Hong Kong,181.0
200203,Less than 40 m2,Hong Kong,175.0
200206,Less than 40 m2,Hong Kong,168.0
200209,Less than 40 m2,Hong Kong,163.0
200212,Less than 40 m2,Hong Kong,153.0
200303,Less than 40 m2,Hong Kong,153.0
200306,Less than 40 m2,Hong Kong,147.0
200309,Less than 40 m2,Hong Kong,155.0
200312,Less than 40 m2,Hong Kong,155.0
200403,Less than 40 m2,Hong Kong,166.0
200406,Less than 40 m2,Hong Kong,166.0
200409,Less than 40 m2,Hong Kong,171.0
200412,Less than 40 m2,Hong Kong,165.0
200503,Less than 40 m2,Hong Kong,172.0
200506,Less than 40 m2,Hong Kong,173.0
200509,Less than 40 m2,Hong Kong,200.0
200512,Less than 40 m2,Hong Kong,199.0
200603,Less than 40 m2,Hong Kong,196.0
200606,Less than 40 m2,Hong Kong,199.0
200609,Less than 40 m2,Hong Kong,238.0
200612,Less than 40 m2,Hong Kong,214.0
200703,Less than 40 m2,Hong Kong,215.0
200706,Less than 40 m2,Hong Kong,225.0
200709,Less than 40 m2,Hong Kong,275.0
200712,Less than 40 m2,Hong Kong,243.0
200803,Less than 40 m2,Hong Kong,252.0
200806,Less than 40 m2,Hong Kong,267.0
200809,Less than 40 m2,Hong Kong,319.0
200812,Less than 40 m2,Hong Kong,254.0
200903,Less than 40 m2,Hong Kong,227.0
200906,Less than 40 m2,Hong Kong,217.0
200909,Less than 40 m2,Hong Kong,241.0
200912,Less than 40 m2,Hong Kong,255.0
201003,Less than 40 m2,Hong Kong,243.0
201006,Less than 40 m2,Hong Kong,263.0
201009,Less than 40 m2,Hong Kong,312.0
201012,Less than 40 m2,Hong Kong,301.0
201103,Less than 40 m2,Hong Kong,287.0
201106,Less than 40 m2,Hong Kong,314.0
201109,Less than 40 m2,Hong Kong,371.0
201112,Less than 40 m2,Hong Kong,316.0
201203,Less than 40 m2,Hong Kong,320.0
201206,Less than 40 m2,Hong Kong,328.0
201209,Less than 40 m2,Hong Kong,328.0
201212,Less than 40 m2,Hong Kong,333.0
201303,Less than 40 m2,Hong Kong,336.0
201306,Less than 40 m2,Hong Kong,342.0
201309,Less than 40 m2,Hong Kong,381.0
201312,Less than 40 m2,Hong Kong,379.0
201403,Less than 40 m2,Hong Kong,368.0
201406,Less than 40 m2,Hong Kong,374.0
201409,Less than 40 m2,Hong Kong,421.0
201412,Less than 40 m2,Hong Kong,402.0
201503,Less than 40 m2,Hong Kong,408.0
201506,Less than 40 m2,Hong Kong,430.0
201509,Less than 40 m2,Hong Kong,451.0
201512,Less than 40 m2,Hong Kong,434.0
201603,Less than 40 m2,Hong Kong,411.0
201606,Less than 40 m2,Hong Kong,402.0
201609,Less than 40 m2,Hong Kong,426.0
201612,Less than 40 m2,Hong Kong,413.0
201703,Less than 40 m2,Hong Kong,431.0
201706,Less than 40 m2,Hong Kong,441.0
201709,Less than 40 m2,Hong Kong,463.0
201712,Less than 40 m2,Hong Kong,464.0
201803,Less than 40 m2,Hong Kong,472.0
201806,Less than 40 m2,Hong Kong,474.0
201809,Less than 40 m2,Hong Kong,497.0
201812,Less than 40 m2,Hong Kong,501.0
201903,Less than 40 m2,Hong Kong,497.0
201906,Less than 40 m2,Hong Kong,507.0
201909,Less than 40 m2,Hong Kong,524.0
201912,Less than 40 m2,Hong Kong,482.0
202003,Less than 40 m2,Hong Kong,458.0
202006,Less than 40 m2,Hong Kong,441.0
202009,Less than 40 m2,Hong Kong,450.0
202012,Less than 40 m2,Hong Kong,434.0
202103,Less than 40 m2,Hong Kong,437.0
202106,Less than 40 m2,Hong Kong,438.0
202109,Less than 40 m2,Hong Kong,453.0
202112,Less than 40 m2,Hong Kong,449.0
202203,Less than 40 m2,Hong Kong,438.0
202206,Less than 40 m2,Hong Kong,436.0
202209,Less than 40 m2,Hong Kong,453.0
202212,Less than 40 m2,Hong Kong,443.0
202303,Less than 40 m2,Hong Kong,445.0
202306,Less than 40 m2,Hong Kong,437.0
202309,Less than 40 m2,Hong Kong,467.0
202312,Less than 40 m2,Hong Kong,467.0
202403,Less than 40 m2,Hong Kong,459.0
202406,Less than 40 m2,Hong Kong,479.0
202409,Less than 40 m2,Hong Kong,493.0
202412,Less than 40 m2,Hong Kong,480.0
202503,Less than 40 m2,Hong Kong,480.0
202506,Less than 40 m2,Hong Kong,486.0
202509,Less than 40 m2,Hong Kong,509.0
202512,Less than 40 m2,Hong Kong,499.0
202603,Less than 40 m2,Hong Kong,515.0
199903,Less than 40 m2,Kowloon,171.0
199906,Less than 40 m2,Kowloon,174.0
199909,Less than 40 m2,Kowloon,175.0
199912,Less than 40 m2,Kowloon,174.0
200003,Less than 40 m2,Kowloon,169.0
200006,Less than 40 m2,Kowloon,166.0
200009,Less than 40 m2,Kowloon,163.0
200012,Less than 40 m2,Kowloon,165.0
200103,Less than 40 m2,Kowloon,159.0
200106,Less than 40 m2,Kowloon,155.0
200109,Less than 40 m2,Kowloon,151.0
200112,Less than 40 m2,Kowloon,147.0
200203,Less than 40 m2,Kowloon,140.0
200206,Less than 40 m2,Kowloon,133.0
200209,Less than 40 m2,Kowloon,135.0
200212,Less than 40 m2,Kowloon,129.0
200303,Less than 40 m2,Kowloon,121.0
200306,Less than 40 m2,Kowloon,122.0
200309,Less than 40 m2,Kowloon,121.0
200312,Less than 40 m2,Kowloon,128.0
200403,Less than 40 m2,Kowloon,125.0
200406,Less than 40 m2,Kowloon,125.0
200409,Less than 40 m2,Kowloon,124.0
200412,Less than 40 m2,Kowloon,128.0
200503,Less than 40 m2,Kowloon,131.0
200506,Less than 40 m2,Kowloon,133.0
200509,Less than 40 m2,Kowloon,137.0
200512,Less than 40 m2,Kowloon,161.0
200603,Less than 40 m2,Kowloon,142.0
200606,Less than 40 m2,Kowloon,143.0
200609,Less than 40 m2,Kowloon,157.0
200612,Less than 40 m2,Kowloon,171.0
200703,Less than 40 m2,Kowloon,158.0
200706,Less than 40 m2,Kowloon,159.0
200709,Less than 40 m2,Kowloon,172.0
200712,Less than 40 m2,Kowloon,187.0
200803,Less than 40 m2,Kowloon,186.0
200806,Less than 40 m2,Kowloon,194.0
200809,Less than 40 m2,Kowloon,223.0
200812,Less than 40 m2,Kowloon,182.0
200903,Less than 40 m2,Kowloon,170.0
200906,Less than 40 m2,Kowloon,172.0
200909,Less than 40 m2,Kowloon,192.0
200912,Less than 40 m2,Kowloon,186.0
201003,Less than 40 m2,Kowloon,189.0
201006,Less than 40 m2,Kowloon,200.0
201009,Less than 40 m2,Kowloon,211.0
201012,Less than 40 m2,Kowloon,213.0
201103,Less than 40 m2,Kowloon,219.0
