Time,Class,Region,Average Price
199903,Less than 40 m2,Hong Kong,42777.0
199906,Less than 40 m2,Hong Kong,43276.0
199909,Less than 40 m2,Hong Kong,41667.0
199912,Less than 40 m2,Hong Kong,38897.0
200003,Less than 40 m2,Hong Kong,39026.0
200006,Less than 40 m2,Hong Kong,37008.0
200009,Less than 40 m2,Hong Kong,34145.0
200012,Less than 40 m2,Hong Kong,33860.0
200103,Less than 40 m2,Hong Kong,32955.0
200106,Less than 40 m2,Hong Kong,32708.0
200109,Less than 40 m2,Hong Kong,31970.0
200112,Less than 40 m2,Hong Kong,30193.0
200203,Less than 40 m2,Hong Kong,30904.0
200206,Less than 40 m2,Hong Kong,30237.0
200209,Less than 40 m2,Hong Kong,27960.0
200212,Less than 40 m2,Hong Kong,26040.0
200303,Less than 40 m2,Hong Kong,25372.0
200306,Less than 40 m2,Hong Kong,24509.0
200309,Less than 40 m2,Hong Kong,24924.0
200312,Less than 40 m2,Hong Kong,27423.0
200403,Less than 40 m2,Hong Kong,31501.0
200406,Less than 40 m2,Hong Kong,30816.0
200409,Less than 40 m2,Hong Kong,32211.0
200412,Less than 40 m2,Hong Kong,35146.0
200503,Less than 40 m2,Hong Kong,38270.0
200506,Less than 40 m2,Hong Kong,39507.0
200509,Less than 40 m2,Hong Kong,39745.0
200512,Less than 40 m2,Hong Kong,39164.0
200603,Less than 40 m2,Hong Kong,41052.0
200606,Less than 40 m2,Hong Kong,43278.0
200609,Less than 40 m2,Hong Kong,43029.0
200612,Less than 40 m2,Hong Kong,43906.0
200703,Less than 40 m2,Hong Kong,46079.0
200706,Less than 40 m2,Hong Kong,49530.0
200709,Less than 40 m2,Hong Kong,50859.0
200712,Less than 40 m2,Hong Kong,58856.0
200803,Less than 40 m2,Hong Kong,66783.0
200806,Less than 40 m2,Hong Kong,66296.0
200809,Less than 40 m2,Hong Kong,61238.0
200812,Less than 40 m2,Hong Kong,52228.0
200903,Less than 40 m2,Hong Kong,51883.0
200906,Less than 40 m2,Hong Kong,58934.0
200909,Less than 40 m2,Hong Kong,64591.0
200912,Less than 40 m2,Hong Kong,67305.0
201003,Less than 40 m2,Hong Kong,71393.0
201006,Less than 40 m2,Hong Kong,72974.0
201009,Less than 40 m2,Hong Kong,77057.0
201012,Less than 40 m2,Hong Kong,82287.0
201103,Less than 40 m2,Hong Kong,91355.0
201106,Less than 40 m2,Hong Kong,95329.0
201109,Less than 40 m2,Hong Kong,94127.0
201112,Less than 40 m2,Hong Kong,94432.0
201203,Less than 40 m2,Hong Kong,99121.0
201206,Less than 40 m2,Hong Kong,106001.0
201209,Less than 40 m2,Hong Kong,112178.0
201212,Less than 40 m2,Hong Kong,119987.0
201303,Less than 40 m2,Hong Kong,125234.0
201306,Less than 40 m2,Hong Kong,122777.0
201309,Less than 40 m2,Hong Kong,124242.0
201312,Less than 40 m2,Hong Kong,120482.0
201403,Less than 40 m2,Hong Kong,122433.0
201406,Less than 40 m2,Hong Kong,124425.0
201409,Less than 40 m2,Hong Kong,130380.0
201412,Less than 40 m2,Hong Kong,135771.0
201503,Less than 40 m2,Hong Kong,145472.0
201506,Less than 40 m2,Hong Kong,147340.0
201509,Less than 40 m2,Hong Kong,150803.0
201512,Less than 40 m2,Hong Kong,139916.0
201603,Less than 40 m2,Hong Kong,129575.0
201606,Less than 40 m2,Hong Kong,131112.0
201609,Less than 40 m2,Hong Kong,139028.0
201612,Less than 40 m2,Hong Kong,143876.0
201703,Less than 40 m2,Hong Kong,150294.0
201706,Less than 40 m2,Hong Kong,158464.0
201709,Less than 40 m2,Hong Kong,161318.0
201712,Less than 40 m2,Hong Kong,162722.0
201803,Less than 40 m2,Hong Kong,173021.0
201806,Less than 40 m2,Hong Kong,183226.0
201809,Less than 40 m2,Hong Kong,187397.0
201812,Less than 40 m2,Hong Kong,177977.0
201903,Less than 40 m2,Hong Kong,175016.0
201906,Less than 40 m2,Hong Kong,186914.0
201909,Less than 40 m2,Hong Kong,188314.0
201912,Less than 40 m2,Hong Kong,184711.0
202003,Less than 40 m2,Hong Kong,186900.0
202006,Less than 40 m2,Hong Kong,187952.0
202009,Less than 40 m2,Hong Kong,187820.0
202012,Less than 40 m2,Hong Kong,185035.0
202103,Less than 40 m2,Hong Kong,187633.0
202106,Less than 40 m2,Hong Kong,190593.0
202109,Less than 40 m2,Hong Kong,193697.0
