Time,Class,Value
1980,Less than 40 m2,33.7
1981,Less than 40 m2,42.1
1982,Less than 40 m2,43.5
1983,Less than 40 m2,40.9
1984,Less than 40 m2,39.7
1985,Less than 40 m2,40.8
1986,Less than 40 m2,42.4
1987,Less than 40 m2,46.6
1988,Less than 40 m2,54.5
1989,Less than 40 m2,69.5
1990,Less than 40 m2,80.3
1991,Less than 40 m2,86.7
1992,Less than 40 m2,93.1
1993,Less than 40 m2,97.5
1994,Less than 40 m2,111.7
1995,Less than 40 m2,114.6
1996,Less than 40 m2,114.8
1997,Less than 40 m2,128.1
1998,Less than 40 m2,112.8
1999,Less than 40 m2,100.0
2000,Less than 40 m2,97.2
2001,Less than 40 m2,93.0
2002,Less than 40 m2,81.3
2003,Less than 40 m2,72.8
2004,Less than 40 m2,75.5
2005,Less than 40 m2,83.3
2006,Less than 40 m2,90.1
2007,Less than 40 m2,100.5
2008,Less than 40 m2,113.2
2009,Less than 40 m2,102.0
2010,Less than 40 m2,120.7
2011,Less than 40 m2,137.1
2012,Less than 40 m2,149.6
2013,Less than 40 m2,163.6
2014,Less than 40 m2,171.8
2015,Less than 40 m2,187.4
2016,Less than 40 m2,184.8
2017,Less than 40 m2,201.2
2018,Less than 40 m2,213.4
2019,Less than 40 m2,215.3
2020,Less than 40 m2,198.2
2021,Less than 40 m2,196.7
2022,Less than 40 m2,195.7
2023,Less than 40 m2,201.2
2024,Less than 40 m2,210.8
2025,Less than 40 m2,216.0
1980,40 m2 to 69.9 m2,31.6
1981,40 m2 to 69.9 m2,40.1
1982,40 m2 to 69.9 m2,41.5
1983,40 m2 to 69.9 m2,38.6
1984,40 m2 to 69.9 m2,38.1
1985,40 m2 to 69.9 m2,39.9
1986,40 m2 to 69.9 m2,42.3
1987,40 m2 to 69.9 m2,47.1
1988,40 m2 to 69.9 m2,54.5
1989,40 m2 to 69.9 m2,70.3
1990,40 m2 to 69.9 m2,79.2
1991,40 m2 to 69.9 m2,86.7
1992,40 m2 to 69.9 m2,93.8
1993,40 m2 to 69.9 m2,98.5
1994,40 m2 to 69.9 m2,117.1
1995,40 m2 to 69.9 m2,119.6
1996,40 m2 to 69.9 m2,119.4
1997,40 m2 to 69.9 m2,135.7
1998,40 m2 to 69.9 m2,110.3
1999,40 m2 to 69.9 m2,100.0
2000,40 m2 to 69.9 m2,97.4
2001,40 m2 to 69.9 m2,93.9
2002,40 m2 to 69.9 m2,81.8
2003,40 m2 to 69.9 m2,72.7
2004,40 m2 to 69.9 m2,76.5
2005,40 m2 to 69.9 m2,84.9
2006,40 m2 to 69.9 m2,89.1
2007,40 m2 to 69.9 m2,98.1
2008,40 m2 to 69.9 m2,111.7
2009,40 m2 to 69.9 m2,97.8
2010,40 m2 to 69.9 m2,118.0
2011,40 m2 to 69.9 m2,132.0
2012,40 m2 to 69.9 m2,140.5
2013,40 m2 to 69.9 m2,153.8
2014,40 m2 to 69.9 m2,158.9
2015,40 m2 to 69.9 m2,172.7
2016,40 m2 to 69.9 m2,165.8
2017,40 m2 to 69.9 m2,181.7
2018,40 m2 to 69.9 m2,192.4
2019,40 m2 to 69.9 m2,193.3
2020,40 m2 to 69.9 m2,181.1
2021,40 m2 to 69.9 m2,180.9
2022,40 m2 to 69.9 m2,177.0
2023,40 m2 to 69.9 m2,179.1
2024,40 m2 to 69.9 m2,189.3
2025,40 m2 to 69.9 m2,195.5
1980,70 m2 to 99.9 m2,30.6
1981,70 m2 to 99.9 m2,40.4
1982,70 m2 to 99.9 m2,41.9
1983,70 m2 to 99.9 m2,37.0
1984,70 m2 to 99.9 m2,34.7
1985,70 m2 to 99.9 m2,38.1
1986,70 m2 to 99.9 m2,41.6
