Time,Class,Value
197912,Less than 40 m2,25.6
198003,Less than 40 m2,31.2
198006,Less than 40 m2,32.1
198009,Less than 40 m2,34.0
198012,Less than 40 m2,37.6
198103,Less than 40 m2,38.1
198106,Less than 40 m2,42.6
198109,Less than 40 m2,43.8
198112,Less than 40 m2,43.7
198203,Less than 40 m2,42.1
198206,Less than 40 m2,43.9
198209,Less than 40 m2,43.5
198212,Less than 40 m2,44.4
198303,Less than 40 m2,41.5
198306,Less than 40 m2,40.4
198309,Less than 40 m2,40.6
198312,Less than 40 m2,40.9
198403,Less than 40 m2,39.0
198406,Less than 40 m2,39.7
198409,Less than 40 m2,39.7
198412,Less than 40 m2,40.5
198503,Less than 40 m2,40.1
198506,Less than 40 m2,40.9
198509,Less than 40 m2,40.9
198512,Less than 40 m2,41.3
198603,Less than 40 m2,41.6
198606,Less than 40 m2,42.1
198609,Less than 40 m2,43.0
198612,Less than 40 m2,42.9
198703,Less than 40 m2,44.0
198706,Less than 40 m2,45.3
198709,Less than 40 m2,47.7
198712,Less than 40 m2,49.3
198803,Less than 40 m2,50.0
198806,Less than 40 m2,52.7
198809,Less than 40 m2,55.6
198812,Less than 40 m2,59.7
198903,Less than 40 m2,64.2
198906,Less than 40 m2,70.6
198909,Less than 40 m2,69.6
198912,Less than 40 m2,73.5
199003,Less than 40 m2,76.9
199006,Less than 40 m2,80.9
199009,Less than 40 m2,81.0
199012,Less than 40 m2,82.5
199103,Less than 40 m2,83.8
199106,Less than 40 m2,85.0
199109,Less than 40 m2,88.8
199112,Less than 40 m2,89.0
199203,Less than 40 m2,89.3
199206,Less than 40 m2,93.7
199209,Less than 40 m2,94.6
199212,Less than 40 m2,94.8
199303,Less than 40 m2,95.2
199306,Less than 40 m2,95.7
199309,Less than 40 m2,97.4
199312,Less than 40 m2,101.6
199403,Less than 40 m2,104.9
199406,Less than 40 m2,112.8
199409,Less than 40 m2,113.7
199412,Less than 40 m2,115.6
199503,Less than 40 m2,114.8
199506,Less than 40 m2,116.2
199509,Less than 40 m2,115.3
199512,Less than 40 m2,112.1
199603,Less than 40 m2,113.0
199606,Less than 40 m2,114.2
199609,Less than 40 m2,115.7
199612,Less than 40 m2,116.3
199703,Less than 40 m2,122.6
199706,Less than 40 m2,126.9
199709,Less than 40 m2,132.3
199712,Less than 40 m2,130.7
199803,Less than 40 m2,123.4
199806,Less than 40 m2,117.2
199809,Less than 40 m2,108.0
199812,Less than 40 m2,102.4
199903,Less than 40 m2,101.6
199906,Less than 40 m2,100.9
199909,Less than 40 m2,100.2
199912,Less than 40 m2,97.3
200003,Less than 40 m2,97.7
200006,Less than 40 m2,98.0
200009,Less than 40 m2,97.0
200012,Less than 40 m2,96.3
200103,Less than 40 m2,96.1
200106,Less than 40 m2,94.7
200109,Less than 40 m2,92.2
200112,Less than 40 m2,89.2
200203,Less than 40 m2,85.1
200206,Less than 40 m2,82.2
200209,Less than 40 m2,80.5
200212,Less than 40 m2,77.2
200303,Less than 40 m2,75.4
200306,Less than 40 m2,72.8
200309,Less than 40 m2,71.3
200312,Less than 40 m2,71.5
200403,Less than 40 m2,73.5
200406,Less than 40 m2,75.3
200409,Less than 40 m2,75.9
200412,Less than 40 m2,77.1
200503,Less than 40 m2,78.9
200506,Less than 40 m2,82.5
200509,Less than 40 m2,84.7
200512,Less than 40 m2,87.0
200603,Less than 40 m2,86.4
200606,Less than 40 m2,88.7
200609,Less than 40 m2,91.1
200612,Less than 40 m2,94.0
200703,Less than 40 m2,94.3
200706,Less than 40 m2,98.7
200709,Less than 40 m2,102.5
200712,Less than 40 m2,106.5
200803,Less than 40 m2,112.8
200806,Less than 40 m2,117.2
200809,Less than 40 m2,117.1
200812,Less than 40 m2,105.9
200903,Less than 40 m2,97.4
200906,Less than 40 m2,98.8
200909,Less than 40 m2,102.8
200912,Less than 40 m2,109.0
201003,Less than 40 m2,112.6
201006,Less than 40 m2,118.3
201009,Less than 40 m2,123.0
201012,Less than 40 m2,129.0
201103,Less than 40 m2,129.8
201106,Less than 40 m2,136.0
201109,Less than 40 m2,141.3
201112,Less than 40 m2,141.1
201203,Less than 40 m2,139.1
201206,Less than 40 m2,147.2
201209,Less than 40 m2,153.9
201212,Less than 40 m2,158.4
201303,Less than 40 m2,159.9
201306,Less than 40 m2,162.1
201309,Less than 40 m2,165.1
201312,Less than 40 m2,167.5
201403,Less than 40 m2,167.1
201406,Less than 40 m2,168.8
201409,Less than 40 m2,173.1
201412,Less than 40 m2,178.3
201503,Less than 40 m2,181.9
201506,Less than 40 m2,187.4
201509,Less than 40 m2,191.6
201512,Less than 40 m2,188.9
201603,Less than 40 m2,181.3
201606,Less than 40 m2,181.3
201609,Less than 40 m2,186.8
201612,Less than 40 m2,189.7
201703,Less than 40 m2,193.6
201706,Less than 40 m2,199.6
201709,Less than 40 m2,204.0
201712,Less than 40 m2,207.5
201803,Less than 40 m2,207.8
201806,Less than 40 m2,211.8
201809,Less than 40 m2,217.2
201812,Less than 40 m2,216.9
201903,Less than 40 m2,213.3
201906,Less than 40 m2,215.8
201909,Less than 40 m2,221.0
201912,Less than 40 m2,211.3
202003,Less than 40 m2,202.2
202006,Less than 40 m2,197.1
202009,Less than 40 m2,198.7
202012,Less than 40 m2,194.8
202103,Less than 40 m2,191.7
202106,Less than 40 m2,195.1
202109,Less than 40 m2,199.2
202112,Less than 40 m2,200.7
202203,Less than 40 m2,196.1
202206,Less than 40 m2,194.0
202209,Less than 40 m2,196.9
202212,Less than 40 m2,195.8
202303,Less than 40 m2,194.1
202306,Less than 40 m2,199.5
202309,Less than 40 m2,204.5
202312,Less than 40 m2,206.6
202403,Less than 40 m2,205.5
202406,Less than 40 m2,209.9
202409,Less than 40 m2,215.4
202412,Less than 40 m2,212.5
202503,Less than 40 m2,212.5
202506,Less than 40 m2,213.4
202509,Less than 40 m2,218.4
202512,Less than 40 m2,219.8
202603,Less than 40 m2,219.8
197912,40 m2 to 69.9 m2,27.4
198003,40 m2 to 69.9 m2,26.9
198006,40 m2 to 69.9 m2,30.9
198009,40 m2 to 69.9 m2,32.8
198012,40 m2 to 69.9 m2,35.8
198103,40 m2 to 69.9 m2,38.6
198106,40 m2 to 69.9 m2,40.3
198109,40 m2 to 69.9 m2,40.8
198112,40 m2 to 69.9 m2,40.5
198203,40 m2 to 69.9 m2,41.0
198206,40 m2 to 69.9 m2,41.4
198209,40 m2 to 69.9 m2,41.8
198212,40 m2 to 69.9 m2,41.7
198303,40 m2 to 69.9 m2,39.7
198306,40 m2 to 69.9 m2,39.1
198309,40 m2 to 69.9 m2,38.1
198312,40 m2 to 69.9 m2,37.5
198403,40 m2 to 69.9 m2,37.5
198406,40 m2 to 69.9 m2,37.5
198409,40 m2 to 69.9 m2,38.6
198412,40 m2 to 69.9 m2,38.9
198503,40 m2 to 69.9 m2,38.9
198506,40 m2 to 69.9 m2,39.3
198509,40 m2 to 69.9 m2,40.8
198512,40 m2 to 69.9 m2,40.5
198603,40 m2 to 69.9 m2,41.1
198606,40 m2 to 69.9 m2,41.8
198609,40 m2 to 69.9 m2,43.0
198612,40 m2 to 69.9 m2,43.1
198703,40 m2 to 69.9 m2,43.4
198706,40 m2 to 69.9 m2,46.3
198709,40 m2 to 69.9 m2,48.6
198712,40 m2 to 69.9 m2,50.0
198803,40 m2 to 69.9 m2,50.0
198806,40 m2 to 69.9 m2,52.5
198809,40 m2 to 69.9 m2,55.6
198812,40 m2 to 69.9 m2,59.7
198903,40 m2 to 69.9 m2,66.4
198906,40 m2 to 69.9 m2,70.8
198909,40 m2 to 69.9 m2,70.5
198912,40 m2 to 69.9 m2,73.5
199003,40 m2 to 69.9 m2,77.8
199006,40 m2 to 69.9 m2,78.2
199009,40 m2 to 69.9 m2,79.4
199012,40 m2 to 69.9 m2,81.5
199103,40 m2 to 69.9 m2,83.1
199106,40 m2 to 69.9 m2,85.3
199109,40 m2 to 69.9 m2,88.4
199112,40 m2 to 69.9 m2,90.1
199203,40 m2 to 69.9 m2,90.8
199206,40 m2 to 69.9 m2,94.2
199209,40 m2 to 69.9 m2,95.7
199212,40 m2 to 69.9 m2,94.4
199303,40 m2 to 69.9 m2,93.1
199306,40 m2 to 69.9 m2,95.1
199309,40 m2 to 69.9 m2,100.9
199312,40 m2 to 69.9 m2,105.1
199403,40 m2 to 69.9 m2,107.4
199406,40 m2 to 69.9 m2,118.7
199409,40 m2 to 69.9 m2,121.2
199412,40 m2 to 69.9 m2,121.2
199503,40 m2 to 69.9 m2,119.9
199506,40 m2 to 69.9 m2,121.2
199509,40 m2 to 69.9 m2,120.2
199512,40 m2 to 69.9 m2,117.1
199603,40 m2 to 69.9 m2,116.0
199606,40 m2 to 69.9 m2,117.3
199609,40 m2 to 69.9 m2,120.5
199612,40 m2 to 69.9 m2,123.7
199703,40 m2 to 69.9 m2,129.0
199706,40 m2 to 69.9 m2,135.4
199709,40 m2 to 69.9 m2,140.1
199712,40 m2 to 69.9 m2,138.3
199803,40 m2 to 69.9 m2,120.7
199806,40 m2 to 69.9 m2,115.5
199809,40 m2 to 69.9 m2,104.6
199812,40 m2 to 69.9 m2,100.6
199903,40 m2 to 69.9 m2,101.1
199906,40 m2 to 69.9 m2,100.3
199909,40 m2 to 69.9 m2,100.4
199912,40 m2 to 69.9 m2,98.2
200003,40 m2 to 69.9 m2,97.7
200006,40 m2 to 69.9 m2,97.6
200009,40 m2 to 69.9 m2,96.6
200012,40 m2 to 69.9 m2,97.5
200103,40 m2 to 69.9 m2,96.3
200106,40 m2 to 69.9 m2,95.3
200109,40 m2 to 69.9 m2,94.4
200112,40 m2 to 69.9 m2,89.6
200203,40 m2 to 69.9 m2,85.3
200206,40 m2 to 69.9 m2,83.6
200209,40 m2 to 69.9 m2,80.8
200212,40 m2 to 69.9 m2,77.6
200303,40 m2 to 69.9 m2,75.4
200306,40 m2 to 69.9 m2,72.5
