Time,Class,Value
1980,Less than 40 m2,21.2
1981,Less than 40 m2,25.5
1982,Less than 40 m2,22.5
1983,Less than 40 m2,19.6
1984,Less than 40 m2,19.0
1985,Less than 40 m2,20.7
1986,Less than 40 m2,23.1
1987,Less than 40 m2,28.7
1988,Less than 40 m2,34.6
1989,Less than 40 m2,43.4
1990,Less than 40 m2,48.6
1991,Less than 40 m2,66.3
1992,Less than 40 m2,91.2
1993,Less than 40 m2,96.6
1994,Less than 40 m2,113.8
1995,Less than 40 m2,109.2
1996,Less than 40 m2,116.8
1997,Less than 40 m2,161.4
1998,Less than 40 m2,118.5
1999,Less than 40 m2,100.0
2000,Less than 40 m2,88.3
2001,Less than 40 m2,77.2
2002,Less than 40 m2,68.1
2003,Less than 40 m2,59.7
2004,Less than 40 m2,72.7
2005,Less than 40 m2,84.9
2006,Less than 40 m2,86.6
2007,Less than 40 m2,98.5
2008,Less than 40 m2,117.6
2009,Less than 40 m2,120.3
2010,Less than 40 m2,152.5
2011,Less than 40 m2,187.3
2012,Less than 40 m2,217.6
2013,Less than 40 m2,260.3
2014,Less than 40 m2,278.7
2015,Less than 40 m2,326.7
2016,Less than 40 m2,314.8
2017,Less than 40 m2,368.3
2018,Less than 40 m2,416.6
2019,Less than 40 m2,425.6
2020,Less than 40 m2,423.2
2021,Less than 40 m2,436.2
2022,Less than 40 m2,407.5
2023,Less than 40 m2,366.7
2024,Less than 40 m2,318.8
2025,Less than 40 m2,309.7
1980,40 m2 to 69.9 m2,18.4
1981,40 m2 to 69.9 m2,23.2
1982,40 m2 to 69.9 m2,20.0
1983,40 m2 to 69.9 m2,16.9
1984,40 m2 to 69.9 m2,16.3
1985,40 m2 to 69.9 m2,18.2
1986,40 m2 to 69.9 m2,19.9
1987,40 m2 to 69.9 m2,24.2
1988,40 m2 to 69.9 m2,29.6
1989,40 m2 to 69.9 m2,37.8
1990,40 m2 to 69.9 m2,42.0
1991,40 m2 to 69.9 m2,58.6
1992,40 m2 to 69.9 m2,82.5
1993,40 m2 to 69.9 m2,91.7
1994,40 m2 to 69.9 m2,115.0
1995,40 m2 to 69.9 m2,106.1
1996,40 m2 to 69.9 m2,117.1
1997,40 m2 to 69.9 m2,162.7
1998,40 m2 to 69.9 m2,116.0
1999,40 m2 to 69.9 m2,100.0
2000,40 m2 to 69.9 m2,89.5
2001,40 m2 to 69.9 m2,78.8
2002,40 m2 to 69.9 m2,70.2
2003,40 m2 to 69.9 m2,61.1
2004,40 m2 to 69.9 m2,77.2
2005,40 m2 to 69.9 m2,91.3
2006,40 m2 to 69.9 m2,91.6
2007,40 m2 to 69.9 m2,100.5
2008,40 m2 to 69.9 m2,116.1
2009,40 m2 to 69.9 m2,117.2
2010,40 m2 to 69.9 m2,144.4
2011,40 m2 to 69.9 m2,173.8
2012,40 m2 to 69.9 m2,195.7
2013,40 m2 to 69.9 m2,230.1
2014,40 m2 to 69.9 m2,243.2
2015,40 m2 to 69.9 m2,282.8
2016,40 m2 to 69.9 m2,272.9
2017,40 m2 to 69.9 m2,318.4
2018,40 m2 to 69.9 m2,359.3
2019,40 m2 to 69.9 m2,363.6
2020,40 m2 to 69.9 m2,364.3
2021,40 m2 to 69.9 m2,378.2
2022,40 m2 to 69.9 m2,357.4
2023,40 m2 to 69.9 m2,327.8
2024,40 m2 to 69.9 m2,291.5
2025,40 m2 to 69.9 m2,282.9
1980,70 m2 to 99.9 m2,18.2
1981,70 m2 to 99.9 m2,22.2
1982,70 m2 to 99.9 m2,18.9
1983,70 m2 to 99.9 m2,14.9
1984,70 m2 to 99.9 m2,13.7
1985,70 m2 to 99.9 m2,16.3
1986,70 m2 to 99.9 m2,18.3
1987,70 m2 to 99.9 m2,21.9
1988,70 m2 to 99.9 m2,27.2
1989,70 m2 to 99.9 m2,34.9
1990,70 m2 to 99.9 m2,39.3
1991,70 m2 to 99.9 m2,54.2
1992,70 m2 to 99.9 m2,79.9
1993,70 m2 to 99.9 m2,90.6
1994,70 m2 to 99.9 m2,119.1
1995,70 m2 to 99.9 m2,106.5
1996,70 m2 to 99.9 m2,116.5
1997,70 m2 to 99.9 m2,168.8
1998,70 m2 to 99.9 m2,117.3
1999,70 m2 to 99.9 m2,100.0
2000,70 m2 to 99.9 m2,91.2
2001,70 m2 to 99.9 m2,80.8
2002,70 m2 to 99.9 m2,71.9
2003,70 m2 to 99.9 m2,65.3
2004,70 m2 to 99.9 m2,87.8
2005,70 m2 to 99.9 m2,106.6
2006,70 m2 to 99.9 m2,108.0
2007,70 m2 to 99.9 m2,119.6
2008,70 m2 to 99.9 m2,138.5
2009,70 m2 to 99.9 m2,135.1
2010,70 m2 to 99.9 m2,166.2
2011,70 m2 to 99.9 m2,193.8
2012,70 m2 to 99.9 m2,208.4
2013,70 m2 to 99.9 m2,233.5
2014,70 m2 to 99.9 m2,238.2
2015,70 m2 to 99.9 m2,265.4
2016,70 m2 to 99.9 m2,258.8
2017,70 m2 to 99.9 m2,296.9
2018,70 m2 to 99.9 m2,333.0
2019,70 m2 to 99.9 m2,336.6
2020,70 m2 to 99.9 m2,328.2
2021,70 m2 to 99.9 m2,344.0
2022,70 m2 to 99.9 m2,329.8
2023,70 m2 to 99.9 m2,310.0
2024,70 m2 to 99.9 m2,282.4
2025,70 m2 to 99.9 m2,273.9
1980,100 m2 to 159.9 m2,
1981,100 m2 to 159.9 m2,
1982,100 m2 to 159.9 m2,
1983,100 m2 to 159.9 m2,
1984,100 m2 to 159.9 m2,
1985,100 m2 to 159.9 m2,
1986,100 m2 to 159.9 m2,
1987,100 m2 to 159.9 m2,
1988,100 m2 to 159.9 m2,
1989,100 m2 to 159.9 m2,
1990,100 m2 to 159.9 m2,
1991,100 m2 to 159.9 m2,46.6
1992,100 m2 to 159.9 m2,71.4
1993,100 m2 to 159.9 m2,85.1
1994,100 m2 to 159.9 m2,116.9
1995,100 m2 to 159.9 m2,104.1
1996,100 m2 to 159.9 m2,116.1
1997,100 m2 to 159.9 m2,168.5
1998,100 m2 to 159.9 m2,116.1
1999,100 m2 to 159.9 m2,100.0
2000,100 m2 to 159.9 m2,94.2
2001,100 m2 to 159.9 m2,83.2
2002,100 m2 to 159.9 m2,76.6
2003,100 m2 to 159.9 m2,70.2
2004,100 m2 to 159.9 m2,96.5
2005,100 m2 to 159.9 m2,119.1
2006,100 m2 to 159.9 m2,121.0
2007,100 m2 to 159.9 m2,138.0
2008,100 m2 to 159.9 m2,157.2
2009,100 m2 to 159.9 m2,153.4
2010,100 m2 to 159.9 m2,187.5
2011,100 m2 to 159.9 m2,213.3
2012,100 m2 to 159.9 m2,226.0
2013,100 m2 to 159.9 m2,244.9
2014,100 m2 to 159.9 m2,247.8
2015,100 m2 to 159.9 m2,269.4
2016,100 m2 to 159.9 m2,264.5
2017,100 m2 to 159.9 m2,293.1
2018,100 m2 to 159.9 m2,320.1
2019,100 m2 to 159.9 m2,329.5
2020,100 m2 to 159.9 m2,317.3
2021,100 m2 to 159.9 m2,331.5
2022,100 m2 to 159.9 m2,314.6
2023,100 m2 to 159.9 m2,299.3
2024,100 m2 to 159.9 m2,274.0
2025,100 m2 to 159.9 m2,265.7
1980,160 m2 or above,
1981,160 m2 or above,
1982,160 m2 or above,
1983,160 m2 or above,
1984,160 m2 or above,
1985,160 m2 or above,
1986,160 m2 or above,
1987,160 m2 or above,
1988,160 m2 or above,
1989,160 m2 or above,
1990,160 m2 or above,
1991,160 m2 or above,39.2
1992,160 m2 or above,59.3
1993,160 m2 or above,74.6
1994,160 m2 or above,114.8
1995,160 m2 or above,103.4
1996,160 m2 or above,117.6
1997,160 m2 or above,172.9
1998,160 m2 or above,114.0
1999,160 m2 or above,100.0
2000,160 m2 or above,98.7
2001,160 m2 or above,87.8
2002,160 m2 or above,81.8
2003,160 m2 or above,76.2
2004,160 m2 or above,106.6
2005,160 m2 or above,131.3
2006,160 m2 or above,137.6
2007,160 m2 or above,161.5
2008,160 m2 or above,183.6
2009,160 m2 or above,177.1
2010,160 m2 or above,215.0
2011,160 m2 or above,241.7
2012,160 m2 or above,260.9
2013,160 m2 or above,267.4
2014,160 m2 or above,264.7
2015,160 m2 or above,283.4
2016,160 m2 or above,275.1
2017,160 m2 or above,306.1
2018,160 m2 or above,325.2
2019,160 m2 or above,310.0
2020,160 m2 or above,309.5
2021,160 m2 or above,319.2
2022,160 m2 or above,301.4
2023,160 m2 or above,297.6
2024,160 m2 or above,270.2
2025,160 m2 or above,260.3
1980,Less than 100 m2,
1981,Less than 100 m2,
1982,Less than 100 m2,
1983,Less than 100 m2,
1984,Less than 100 m2,
1985,Less than 100 m2,
1986,Less than 100 m2,21.5
1987,Less than 100 m2,26.6
1988,Less than 100 m2,32.2
1989,Less than 100 m2,40.6
1990,Less than 100 m2,45.2
1991,Less than 100 m2,62.0
1992,Less than 100 m2,86.4
1993,Less than 100 m2,93.8
1994,Less than 100 m2,114.9
1995,Less than 100 m2,107.5
1996,Less than 100 m2,116.9
1997,Less than 100 m2,162.7
1998,Less than 100 m2,117.2
1999,Less than 100 m2,100.0
2000,Less than 100 m2,89.2
2001,Less than 100 m2,78.4
2002,Less than 100 m2,69.5
2003,Less than 100 m2,61.0
2004,Less than 100 m2,76.6
2005,Less than 100 m2,90.4
2006,Less than 100 m2,91.1
2007,Less than 100 m2,101.4
2008,Less than 100 m2,118.6
2009,Less than 100 m2,119.8
2010,Less than 100 m2,149.3
2011,Less than 100 m2,180.8
2012,Less than 100 m2,205.2
2013,Less than 100 m2,242.1
2014,Less than 100 m2,257.1
2015,Less than 100 m2,297.9
2016,Less than 100 m2,287.1
2017,Less than 100 m2,335.8
2018,Less than 100 m2,380.2
2019,Less than 100 m2,385.7
2020,Less than 100 m2,383.6
2021,Less than 100 m2,395.3
2022,Less than 100 m2,372.1
2023,Less than 100 m2,338.8
2024,Less than 100 m2,300.0
2025,Less than 100 m2,291.6
1980,100 m2 or above,20.8
1981,100 m2 or above,25.6
1982,100 m2 or above,21.3
1983,100 m2 or above,15.6
1984,100 m2 or above,13.6
1985,100 m2 or above,16.4
1986,100 m2 or above,18.5
1987,100 m2 or above,21.6
1988,100 m2 or above,26.5
1989,100 m2 or above,33.3
1990,100 m2 or above,34.8
1991,100 m2 or above,45.1
1992,100 m2 or above,68.0
1993,100 m2 or above,82.2
1994,100 m2 or above,116.3
1995,100 m2 or above,103.9
1996,100 m2 or above,116.5
1997,100 m2 or above,169.7
1998,100 m2 or above,115.6
1999,100 m2 or above,100.0
2000,100 m2 or above,95.4
2001,100 m2 or above,84.4
2002,100 m2 or above,77.9
2003,100 m2 or above,72.0
2004,100 m2 or above,99.4
2005,100 m2 or above,121.9
2006,100 m2 or above,124.9
2007,100 m2 or above,143.7
2008,100 m2 or above,163.0
2009,100 m2 or above,159.0
2010,100 m2 or above,193.8
2011,100 m2 or above,219.7
2012,100 m2 or above,234.5
2013,100 m2 or above,249.8
2014,100 m2 or above,252.3
2015,100 m2 or above,273.2
2016,100 m2 or above,267.1
2017,100 m2 or above,296.3
2018,100 m2 or above,321.5
2019,100 m2 or above,324.4
2020,100 m2 or above,315.5
2021,100 m2 or above,328.6
2022,100 m2 or above,311.8
2023,100 m2 or above,299.0
2024,100 m2 or above,273.2
2025,100 m2 or above,264.4
1980,All Classes,19.9
1981,All Classes,24.4
1982,All Classes,21.1
1983,All Classes,18.0
1984,All Classes,17.2
1985,All Classes,19.0
1986,All Classes,21.3
1987,All Classes,26.3
1988,All Classes,31.9
1989,All Classes,40.2
1990,All Classes,44.8
1991,All Classes,61.1
1992,All Classes,85.2
1993,All Classes,93.0
1994,All Classes,114.9
1995,All Classes,107.3
1996,All Classes,116.9
1997,All Classes,163.1
1998,All Classes,117.1
1999,All Classes,100.0
2000,All Classes,89.6
2001,All Classes,78.7
2002,All Classes,69.9
2003,All Classes,61.6
2004,All Classes,78.0
