Time,Class,Value
197912,Less than 40 m2,17.2
198003,Less than 40 m2,19.5
198006,Less than 40 m2,20.2
198009,Less than 40 m2,21.6
198012,Less than 40 m2,23.5
198103,Less than 40 m2,25.3
198106,Less than 40 m2,25.7
198109,Less than 40 m2,25.9
198112,Less than 40 m2,25.2
198203,Less than 40 m2,24.2
198206,Less than 40 m2,23.0
198209,Less than 40 m2,21.9
198212,Less than 40 m2,20.7
198303,Less than 40 m2,20.1
198306,Less than 40 m2,20.2
198309,Less than 40 m2,19.6
198312,Less than 40 m2,18.5
198403,Less than 40 m2,19.2
198406,Less than 40 m2,19.5
198409,Less than 40 m2,18.6
198412,Less than 40 m2,18.8
198503,Less than 40 m2,19.5
198506,Less than 40 m2,20.1
198509,Less than 40 m2,21.3
198512,Less than 40 m2,22.0
198603,Less than 40 m2,22.0
198606,Less than 40 m2,22.3
198609,Less than 40 m2,23.5
198612,Less than 40 m2,24.7
198703,Less than 40 m2,26.6
198706,Less than 40 m2,28.6
198709,Less than 40 m2,29.7
198712,Less than 40 m2,29.7
198803,Less than 40 m2,30.8
198806,Less than 40 m2,33.4
198809,Less than 40 m2,35.8
198812,Less than 40 m2,38.3
198903,Less than 40 m2,42.5
198906,Less than 40 m2,43.8
198909,Less than 40 m2,42.5
198912,Less than 40 m2,44.7
199003,Less than 40 m2,46.4
199006,Less than 40 m2,47.2
199009,Less than 40 m2,49.2
199012,Less than 40 m2,51.4
199103,Less than 40 m2,54.1
199106,Less than 40 m2,60.9
199109,Less than 40 m2,70.8
199112,Less than 40 m2,79.2
199203,Less than 40 m2,86.0
199206,Less than 40 m2,92.3
199209,Less than 40 m2,94.7
199212,Less than 40 m2,91.6
199303,Less than 40 m2,90.4
199306,Less than 40 m2,95.6
199309,Less than 40 m2,100.6
199312,Less than 40 m2,99.8
199403,Less than 40 m2,110.2
199406,Less than 40 m2,115.3
199409,Less than 40 m2,115.4
199412,Less than 40 m2,114.1
199503,Less than 40 m2,112.7
199506,Less than 40 m2,112.0
199509,Less than 40 m2,107.0
199512,Less than 40 m2,105.1
199603,Less than 40 m2,109.4
199606,Less than 40 m2,113.4
199609,Less than 40 m2,117.1
199612,Less than 40 m2,127.3
199703,Less than 40 m2,149.9
199706,Less than 40 m2,165.0
199709,Less than 40 m2,168.0
199712,Less than 40 m2,162.6
199803,Less than 40 m2,141.4
199806,Less than 40 m2,126.3
199809,Less than 40 m2,105.6
199812,Less than 40 m2,100.8
199903,Less than 40 m2,103.1
199906,Less than 40 m2,103.0
199909,Less than 40 m2,99.3
199912,Less than 40 m2,94.5
200003,Less than 40 m2,95.3
200006,Less than 40 m2,88.6
200009,Less than 40 m2,86.5
