Period,Total
2015-01-01,6412
2015-02-01,6027
2015-03-01,4329
2015-04-01,4549
2015-05-01,5168
2015-06-01,5776
2015-07-01,5393
2015-08-01,3896
2015-09-01,4263
2015-10-01,3300
2015-11-01,2826
2015-12-01,4043
2016-01-01,2045
2016-02-01,1807
2016-03-01,2369
2016-04-01,4494
2016-05-01,4586
2016-06-01,4620
2016-07-01,4243
2016-08-01,5821
2016-09-01,7826
2016-10-01,6601
2016-11-01,6739
2016-12-01,3550
2017-01-01,3286
2017-02-01,4079
2017-03-01,5856
2017-04-01,7060
2017-05-01,5732
2017-06-01,6100
2017-07-01,3515
2017-08-01,4014
2017-09-01,5629
2017-10-01,5289
2017-11-01,5694
2017-12-01,5337
2018-01-01,5270
2018-02-01,5482
2018-03-01,4263
2018-04-01,6646
2018-05-01,5522
2018-06-01,6713
2018-07-01,6091
2018-08-01,4822
2018-09-01,3500
2018-10-01,4243
2018-11-01,2635
2018-12-01,2060
2019-01-01,4543
2019-02-01,4089
2019-03-01,5231
2019-04-01,7822
2019-05-01,8208
2019-06-01,4627
2019-07-01,4805
2019-08-01,4084
2019-09-01,3447
2019-10-01,4001
2019-11-01,5756
2019-12-01,3184
2020-01-01,2762
2020-02-01,3572
2020-03-01,3870
2020-04-01,4102
2020-05-01,5984
2020-06-01,6987
2020-07-01,6133
2020-08-01,4358
2020-09-01,5024
2020-10-01,4951
2020-11-01,6070
2020-12-01,6067
2021-01-01,4562
2021-02-01,6125
2021-03-01,7444
2021-04-01,7325
2021-05-01,7084
2021-06-01,7591
2021-07-01,7579
2021-08-01,5546
2021-09-01,5844
2021-10-01,4643
2021-11-01,5409
2021-12-01,5145
2022-01-01,4275
2022-02-01,2912
2022-03-01,2869
2022-04-01,3897
2022-05-01,6202
2022-06-01,4826
2022-07-01,3671
2022-08-01,4137
2022-09-01,3875
2022-10-01,3148
2022-11-01,2731
2022-12-01,2507
2023-01-01,3051
2023-02-01,4282
2023-03-01,6690
2023-04-01,4583
2023-05-01,4003
2023-06-01,3613
2023-07-01,3065
2023-08-01,3247
2023-09-01,2862
2023-10-01,2123
2023-11-01,2554
2023-12-01,2929
2024-01-01,3477
2024-02-01,2375
2024-03-01,3971
2024-04-01,8551
2024-05-01,5546
2024-06-01,3856
2024-07-01,3723
2024-08-01,3654
2024-09-01,2848
2024-10-01,4697
2024-11-01,6298
2024-12-01,4103
2025-01-01,3626
2025-02-01,3200
2025-03-01,5367
2025-04-01,5694
2025-05-01,5105
2025-06-01,5955
2025-07-01,5766
2025-08-01,5291
2025-09-01,5643
2025-10-01,5714
2025-11-01,5588
2025-12-01,5883
2026-01-01,5669
2026-02-01,6669
2026-03-01,6316
2026-04-01,7368
2026-05-01,7138
2026-06-01,7650
