Time,Class,Value
199903,100 m2 to 159.9 m2,4.59
199903,160 m2 or above,4.44
199903,40 m2 to 69.9 m2,4.63
199903,70 m2 to 99.9 m2,4.55
199903,Less than 40 m2,5.14
199906,100 m2 to 159.9 m2,4.59
199906,160 m2 or above,4.02
199906,40 m2 to 69.9 m2,4.42
199906,70 m2 to 99.9 m2,4.48
199906,Less than 40 m2,5.09
199909,100 m2 to 159.9 m2,4.58
199909,160 m2 or above,3.95
199909,40 m2 to 69.9 m2,4.65
199909,70 m2 to 99.9 m2,4.8
199909,Less than 40 m2,5.41
199912,100 m2 to 159.9 m2,4.81
199912,160 m2 or above,4.0
199912,40 m2 to 69.9 m2,4.86
199912,70 m2 to 99.9 m2,4.91
199912,Less than 40 m2,5.64
200003,100 m2 to 159.9 m2,4.72
200003,160 m2 or above,4.2
200003,40 m2 to 69.9 m2,4.76
200003,70 m2 to 99.9 m2,4.69
200003,Less than 40 m2,5.53
200006,100 m2 to 159.9 m2,5.02
200006,160 m2 or above,4.04
200006,40 m2 to 69.9 m2,5.12
200006,70 m2 to 99.9 m2,5.06
200006,Less than 40 m2,5.85
200009,100 m2 to 159.9 m2,5.5
200009,160 m2 or above,4.38
200009,40 m2 to 69.9 m2,5.25
200009,70 m2 to 99.9 m2,5.34
200009,Less than 40 m2,6.02
200012,100 m2 to 159.9 m2,5.76
200012,160 m2 or above,4.35
200012,40 m2 to 69.9 m2,5.72
200012,70 m2 to 99.9 m2,5.67
200012,Less than 40 m2,6.33
200103,100 m2 to 159.9 m2,6.36
200103,160 m2 or above,5.88
200103,40 m2 to 69.9 m2,5.65
200103,70 m2 to 99.9 m2,6.18
200103,Less than 40 m2,6.39
200106,100 m2 to 159.9 m2,6.35
200106,160 m2 or above,5.05
200106,40 m2 to 69.9 m2,5.44
200106,70 m2 to 99.9 m2,5.53
200106,Less than 40 m2,6.27
200109,100 m2 to 159.9 m2,6.28
200109,160 m2 or above,5.47
200109,40 m2 to 69.9 m2,5.57
200109,70 m2 to 99.9 m2,6.14
200109,Less than 40 m2,6.31
200112,100 m2 to 159.9 m2,6.07
200112,160 m2 or above,5.06
200112,40 m2 to 69.9 m2,5.92
200112,70 m2 to 99.9 m2,6.18
200112,Less than 40 m2,6.52
200203,100 m2 to 159.9 m2,6.16
200203,160 m2 or above,5.46
200203,40 m2 to 69.9 m2,5.64
200203,70 m2 to 99.9 m2,6.27
200203,Less than 40 m2,6.18
200206,100 m2 to 159.9 m2,5.92
200206,160 m2 or above,4.65
200206,40 m2 to 69.9 m2,5.61
200206,70 m2 to 99.9 m2,5.81
200206,Less than 40 m2,6.14
200209,100 m2 to 159.9 m2,5.85
200209,160 m2 or above,5.65
200209,40 m2 to 69.9 m2,5.79
200209,70 m2 to 99.9 m2,5.98
200209,Less than 40 m2,6.42
200212,100 m2 to 159.9 m2,5.99
200212,160 m2 or above,5.34
200212,40 m2 to 69.9 m2,6.04
200212,70 m2 to 99.9 m2,5.77
200212,Less than 40 m2,6.59
200303,100 m2 to 159.9 m2,5.85
200303,160 m2 or above,4.98
200303,40 m2 to 69.9 m2,6.04
200303,70 m2 to 99.9 m2,6.05
200303,Less than 40 m2,6.56
200306,100 m2 to 159.9 m2,5.96
200306,160 m2 or above,5.38
200306,40 m2 to 69.9 m2,6.0
200306,70 m2 to 99.9 m2,6.13
200306,Less than 40 m2,6.67
200309,100 m2 to 159.9 m2,5.46
200309,160 m2 or above,5.02
200309,40 m2 to 69.9 m2,5.9
200309,70 m2 to 99.9 m2,5.77
200309,Less than 40 m2,6.64
200312,100 m2 to 159.9 m2,5.09
200312,160 m2 or above,3.82
200312,40 m2 to 69.9 m2,5.46
200312,70 m2 to 99.9 m2,5.11
200312,Less than 40 m2,6.37
200403,100 m2 to 159.9 m2,4.12
200403,160 m2 or above,3.76
200403,40 m2 to 69.9 m2,4.74
200403,70 m2 to 99.9 m2,4.26
200403,Less than 40 m2,5.78
200406,100 m2 to 159.9 m2,4.33
200406,160 m2 or above,3.61
200406,40 m2 to 69.9 m2,4.71
200406,70 m2 to 99.9 m2,4.44
200406,Less than 40 m2,5.66
200409,100 m2 to 159.9 m2,4.15
200409,160 m2 or above,3.75
200409,40 m2 to 69.9 m2,4.72
200409,70 m2 to 99.9 m2,4.32
200409,Less than 40 m2,5.59
200412,100 m2 to 159.9 m2,3.79
200412,160 m2 or above,3.06
200412,40 m2 to 69.9 m2,4.29
200412,70 m2 to 99.9 m2,4.02
200412,Less than 40 m2,5.23
200503,100 m2 to 159.9 m2,3.8
200503,160 m2 or above,3.46
200503,40 m2 to 69.9 m2,4.05
200503,70 m2 to 99.9 m2,3.94
200503,Less than 40 m2,4.95
200506,100 m2 to 159.9 m2,3.36
200506,160 m2 or above,2.66
200506,40 m2 to 69.9 m2,3.95
200506,70 m2 to 99.9 m2,3.8
200506,Less than 40 m2,4.83
200509,100 m2 to 159.9 m2,3.69
200509,160 m2 or above,3.22
200509,40 m2 to 69.9 m2,4.28
200509,70 m2 to 99.9 m2,3.99
200509,Less than 40 m2,5.22
200512,100 m2 to 159.9 m2,3.85
200512,160 m2 or above,3.46
200512,40 m2 to 69.9 m2,4.8
200512,70 m2 to 99.9 m2,4.33
200512,Less than 40 m2,5.77
200603,100 m2 to 159.9 m2,3.94
200603,160 m2 or above,3.37
200603,40 m2 to 69.9 m2,4.37
200603,70 m2 to 99.9 m2,4.04
200603,Less than 40 m2,5.35
200606,100 m2 to 159.9 m2,3.87
200606,160 m2 or above,3.31
200606,40 m2 to 69.9 m2,4.34
200606,70 m2 to 99.9 m2,3.79
200606,Less than 40 m2,5.26
200609,100 m2 to 159.9 m2,4.07
200609,160 m2 or above,3.18
200609,40 m2 to 69.9 m2,4.76
200609,70 m2 to 99.9 m2,4.26
200609,Less than 40 m2,5.86
200612,100 m2 to 159.9 m2,3.93
200612,160 m2 or above,3.38
200612,40 m2 to 69.9 m2,4.73
200612,70 m2 to 99.9 m2,4.11
200612,Less than 40 m2,5.86
200703,100 m2 to 159.9 m2,3.96
200703,160 m2 or above,3.23
200703,40 m2 to 69.9 m2,4.52
200703,70 m2 to 99.9 m2,4.14
200703,Less than 40 m2,5.39
200706,100 m2 to 159.9 m2,3.76
200706,160 m2 or above,3.48
200706,40 m2 to 69.9 m2,4.43
200706,70 m2 to 99.9 m2,4.03
200706,Less than 40 m2,5.25
200709,100 m2 to 159.9 m2,3.85
200709,160 m2 or above,3.26
200709,40 m2 to 69.9 m2,4.56
200709,70 m2 to 99.9 m2,4.02
200709,Less than 40 m2,5.61
200712,100 m2 to 159.9 m2,3.46
200712,160 m2 or above,2.77
200712,40 m2 to 69.9 m2,4.2
200712,70 m2 to 99.9 m2,3.66
200712,Less than 40 m2,5.03
200803,100 m2 to 159.9 m2,3.84
200803,160 m2 or above,3.0
200803,40 m2 to 69.9 m2,4.24
200803,70 m2 to 99.9 m2,3.76
200803,Less than 40 m2,4.72
200806,100 m2 to 159.9 m2,3.79
200806,160 m2 or above,3.1
