地區,區域,屋苑,屋苑英文,落成年份,成交宗數,中位呎價,中位售價,最細面積,最大面積,細節連結
中西區,港島,寶翠園 2期,The Belchers Phase 2,2001,9,25164,26500000,762,1160,https://hk.centanet.com/findproperty/transaction-detail/寶翠園-2期_26072001700092
中西區,港島,寶翠園 1期,The Belchers Phase 1,2000,6,26382,19775000,664,1447,https://hk.centanet.com/findproperty/transaction-detail/寶翠園-1期_26072300100305
中西區,港島,翰林峰,Novum West,2019,6,30000,8015000,224,540,https://hk.centanet.com/findproperty/transaction-detail/翰林峰_26072201890023
中西區,港島,泓都,The Merton,2004,5,23274,12000000,471,660,https://hk.centanet.com/findproperty/transaction-detail/泓都_SMM202607S0449
中西區,港島,聚賢居,Centre Stage,2006,4,23702,11925000,443,910,https://hk.centanet.com/findproperty/transaction-detail/聚賢居_26072100270074
中西區,港島,Kennedy 38,Kennedy 38,2022,4,29804,7800000,229,298,https://hk.centanet.com/findproperty/transaction-detail/Kennedy-38_26071601110339
中西區,港島,君德閣,Conduit Tower,1992,4,20408,13000000,567,705,https://hk.centanet.com/findproperty/transaction-detail/君德閣_26071301420015
中西區,港島,地利根德閣,Tregunter,1981,3,26217,62000000,1602,2559,https://hk.centanet.com/findproperty/transaction-detail/地利根德閣_26072300990066
中西區,港島,Caine Hill,Caine Hill,2023,3,26259,6880000,191,278,https://hk.centanet.com/findproperty/transaction-detail/Caine-Hill_26072201410074
中西區,港島,帝后華庭,Queen's Terrace,2003,3,20435,10380000,322,518,https://hk.centanet.com/findproperty/transaction-detail/帝后華庭_26072202100143
中西區,港島,樂信臺,Robinson Heights,1989,3,19396,14780000,746,813,https://hk.centanet.com/findproperty/transaction-detail/樂信臺_26072100920046
中西區,港島,雍翠臺,Grandview Garden,1994,3,18519,7000000,376,378,https://hk.centanet.com/findproperty/transaction-detail/雍翠臺_26072101590070
中西區,港島,同興樓,Tung Hing Mansion,1966,3,8489,4550000,417,540,https://hk.centanet.com/findproperty/transaction-detail/同興樓_26072001010015
