Year,Total (No. of units)
1985,29875.0
1986,34105.0
1987,34375.0
1988,34470.0
1989,36485.0
1990,29400.0
1991,33380.0
1992,26222.0
1993,27673.0
1994,34173.0
1995,22621.0
1996,19875.0
1997,18202.0
1998,22278.0
1999,35322.0
2000,25790.0
2001,26262.0
2002,34035.0
2003,26397.0
2004,26036.0
2005,17321.0
2006,16579.0
2007,10471.0
2008,8776.0
2009,7157.0
2010,13405.0
2011,9449.0
2012,10149.0
2013,8254.0
2014,15719.0
2015,11296.0
2016,14595.0
2017,17791.0
2018,20968.0
2019,13643.0
2020,20888.0
2021,14386.0
2022,21168.0
2023,13852.0
2024,24261.0
2025,18448.0
2026,4382.0
