Year,Class,Vacancy
1985,Less than 40 m2,0.037
1986,Less than 40 m2,0.039
1987,Less than 40 m2,0.026
1988,Less than 40 m2,0.021
1989,Less than 40 m2,0.021
1990,Less than 40 m2,0.02
1991,Less than 40 m2,0.019
1992,Less than 40 m2,0.028
1993,Less than 40 m2,0.026
1994,Less than 40 m2,0.03
1995,Less than 40 m2,0.024
1996,Less than 40 m2,0.024
1997,Less than 40 m2,0.024
1998,Less than 40 m2,0.024
1999,Less than 40 m2,0.042
2000,Less than 40 m2,0.038
2001,Less than 40 m2,0.039
2002,Less than 40 m2,0.047
2003,Less than 40 m2,0.045
2004,Less than 40 m2,0.036
2005,Less than 40 m2,0.031
2006,Less than 40 m2,0.032
2007,Less than 40 m2,0.029
2008,Less than 40 m2,0.027
2009,Less than 40 m2,0.025
2010,Less than 40 m2,0.027
2011,Less than 40 m2,0.023
2012,Less than 40 m2,0.023
2013,Less than 40 m2,0.035
2014,Less than 40 m2,0.024
2015,Less than 40 m2,0.023
2016,Less than 40 m2,0.026
2017,Less than 40 m2,0.032
2018,Less than 40 m2,0.038
2019,Less than 40 m2,0.036
2020,Less than 40 m2,0.04
2021,Less than 40 m2,0.038
2022,Less than 40 m2,0.045
2023,Less than 40 m2,0.036
2024,Less than 40 m2,0.045
2025,Less than 40 m2,0.044
1985,40 m2 to 69.9 m2,0.032
1986,40 m2 to 69.9 m2,0.036
1987,40 m2 to 69.9 m2,0.039
1988,40 m2 to 69.9 m2,0.027
1989,40 m2 to 69.9 m2,0.057
1990,40 m2 to 69.9 m2,0.041
1991,40 m2 to 69.9 m2,0.057
1992,40 m2 to 69.9 m2,0.052
1993,40 m2 to 69.9 m2,0.049
1994,40 m2 to 69.9 m2,0.059
1995,40 m2 to 69.9 m2,0.05
1996,40 m2 to 69.9 m2,0.041
1997,40 m2 to 69.9 m2,0.044
1998,40 m2 to 69.9 m2,0.053
1999,40 m2 to 69.9 m2,0.067
2000,40 m2 to 69.9 m2,0.055
2001,40 m2 to 69.9 m2,0.061
2002,40 m2 to 69.9 m2,0.069
2003,40 m2 to 69.9 m2,0.078
2004,40 m2 to 69.9 m2,0.07
